name,administrator_utility_slug,administrator_eia_id,states,asset_types,device_types,market_segments,grid_services,status,program_website,derms_vendor,source_url,notes
Renewable Battery Connect,public-service-co-of-colorado,15466,CO,"BATTERY,SOLAR_PV",SMART_DEVICE,RESIDENTIAL,"DEMAND_RESPONSE,PEAK_SHAVING,CAPACITY",ACTIVE,https://co.my.xcelenergy.com/s/renewable/battery-connect,Texture,https://co.my.xcelenergy.com/s/renewable/battery-connect,"Powered by Texture; residential battery + solar DER, $250/kW upfront + $100/year, up to 60% / 60 events/year."
ConnectedSolutions (National Grid Massachusetts),massachusetts-electric-co,11804,MA,"BATTERY,THERMOSTAT",SMART_DEVICE,"RESIDENTIAL,COMMERCIAL","DEMAND_RESPONSE,PEAK_SHAVING",ACTIVE,https://www.nationalgridus.com/MA-Business/Energy-Saving-Programs/ConnectedSolutions,,https://www.nationalgridus.com/MA-Business/Energy-Saving-Programs/ConnectedSolutions,MA-specific battery + smart thermostat options; also administered by Eversource.
ConnectedSolutions (Eversource Massachusetts),nstar-electric,54913,MA,"BATTERY,THERMOSTAT",SMART_DEVICE,"RESIDENTIAL,COMMERCIAL","DEMAND_RESPONSE,PEAK_SHAVING",ACTIVE,https://www.eversource.com/business/save-money-energy/energy-efficiency-programs/demand-response/connectedsolutionsplus,,https://www.eversource.com/business/save-money-energy/energy-efficiency-programs/demand-response/connectedsolutionsplus,Eversource MA ConnectedSolutions+ business pilot; battery + thermostat options available across Eversource MA.
ConnectedSolutions (Eversource Connecticut),connecticut-light-and-power,4176,CT,THERMOSTAT,SMART_DEVICE,"RESIDENTIAL,COMMERCIAL","DEMAND_RESPONSE,PEAK_SHAVING",ACTIVE,https://www.poweredbyefi.org/eversourcect/learn-more/connected-solutions.html,,https://www.poweredbyefi.org/eversourcect/learn-more/connected-solutions.html,"CT thermostat program; Eversource CT battery enrollments stopped after Dec 2023 per utility page."
ConnectedSolutions (National Grid Rhode Island),the-narragansett-electric,13214,RI,"BATTERY,THERMOSTAT",SMART_DEVICE,"RESIDENTIAL,COMMERCIAL","DEMAND_RESPONSE,PEAK_SHAVING",ACTIVE,https://www.nationalgridus.com/connectedsolutions,,https://www.nationalgridus.com/connectedsolutions,RI-specific ConnectedSolutions program (residential battery + thermostat).
ConnectedSolutions (National Grid Upstate New York),niagara-mohawk-power,13573,NY,BATTERY,SMART_DEVICE,RESIDENTIAL,"DEMAND_RESPONSE,PEAK_SHAVING",ACTIVE,https://www.nationalgridus.com/Upstate-NY-Home/ConnectedSolutions/BatteryProgram,,https://www.nationalgridus.com/Upstate-NY-Home/ConnectedSolutions/BatteryProgram,Upstate NY residential battery program under the ConnectedSolutions brand.
Smart Usage Rewards (Con Edison),consolidated-edison-co-ny,4226,NY,"COMMERCIAL_LOAD,INDUSTRIAL_LOAD","SMART_DEVICE,LOAD_MANAGEMENT_SWITCH","COMMERCIAL,INDUSTRIAL","DEMAND_RESPONSE,PEAK_SHAVING,CAPACITY",ACTIVE,https://www.coned.com/en/save-money/rebates-incentives-tax-credits/rebates-incentives-tax-credits-for-commercial-industrial-buildings-customers/smart-usage-rewards,,https://www.coned.com/en/save-money/rebates-incentives-tax-credits/rebates-incentives-tax-credits-for-commercial-industrial-buildings-customers/smart-usage-rewards,"C&I demand response for Con Edison NY; CSRP, DLRP, and automated dynamic load management groups."
Smart Usage Rewards (Orange & Rockland),orange-and-rockland-utilities,14154,NY,"COMMERCIAL_LOAD,INDUSTRIAL_LOAD","SMART_DEVICE,LOAD_MANAGEMENT_SWITCH","COMMERCIAL,INDUSTRIAL","DEMAND_RESPONSE,PEAK_SHAVING,CAPACITY",ACTIVE,https://www.oru.com/en/save-money/rebates-incentives-credits/new-york-customers/incentives-for-business-customers-ny/demand-response-incentives,,https://www.oru.com/en/save-money/rebates-incentives-credits/new-york-customers/incentives-for-business-customers-ny/demand-response-incentives,"C&I demand response for Orange & Rockland (O&R) NY; CSRP, DLRP, and reservation payment options."
Emergency Load Reduction Program,pacific-gas-and-electric-co,14328,CA,BATTERY,SMART_DEVICE,"RESIDENTIAL,COMMERCIAL","DEMAND_RESPONSE,CAPACITY,ENERGY_ARBITRAGE",ACTIVE,https://elrp.olivineinc.com/california/,,https://www.pge.com/en/save-energy-and-money/energy-saving-programs/demand-response-programs.html,Seven-year CAISO emergency battery-discharge pilot administered by PG&E; ~$2/kWh for dispatched battery energy.
Demand Response Programs,southern-california-edison,17609,CA,"THERMOSTAT,HVAC,BATTERY,EV_CHARGER",SMART_DEVICE,"RESIDENTIAL,COMMERCIAL","DEMAND_RESPONSE,PEAK_SHAVING,LOAD_SHIFTING",ACTIVE,https://www.sce.com/save-money/savings-programs/ways-to-save-at-home/what-is-demand-response,,https://www.sce.com/save-money/savings-programs/ways-to-save-at-home/what-is-demand-response,Residential programs include Smart Energy (smart thermostat) and Summer Discount Plan; commercial programs at /business/demand-response.
